,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
118,Category*LogisticRegression,LogisticRegression,Category,0.8714859437751005,0.7230039696367276,0.8194444444444444,0.9047619047619048,0.7108433734939759,0.44247422680412374
119,Enzyme*LogisticRegression,LogisticRegression,Enzyme,0.6606425702811245,0.3826365639056337,0.49122807017543857,0.8571428571428571,0.3373493975903614,0.101043219076006
120,Group*LogisticRegression,LogisticRegression,Group,0.3399311531841652,0.16129908390419595,0.19801980198019803,0.6190476190476191,0.12048192771084337,-0.12080894092602446
121,Target*LogisticRegression,LogisticRegression,Target,0.7217441193344808,0.31322461604442986,0.676923076923077,0.8571428571428571,0.5301204819277109,0.23609653725078694
122,Taxonomy*LogisticRegression,LogisticRegression,Taxonomy,0.7524383247274814,0.5230718182876055,0.6962962962962963,0.7619047619047619,0.5662650602409639,0.21153846153846156
123,Transporter*LogisticRegression,LogisticRegression,Transporter,0.5717154331612163,0.4005745709883607,0.2424242424242424,0.8095238095238095,0.14457831325301204,-0.020942408376963373
124,Type*LogisticRegression,LogisticRegression,Type,0.5002868617326448,0.202015577015577,0.09090909090909091,0.9523809523809523,0.04819277108433735,0.0002403268445085871
125,ATC_Level_1_description*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_1_description,0.6465863453815262,0.29166624626023785,0.6031746031746031,0.7619047619047619,0.4578313253012048,0.12839423399262484
126,ATC_Level_2_description*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_2_description,0.6376936316695352,0.2873527132001708,0.609375,0.7142857142857143,0.46987951807228917,0.1098938719616569
127,ATC_Level_3_description*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_3_description,0.7300631095811819,0.4123209270372391,0.6917293233082706,0.8095238095238095,0.5542168674698795,0.2292118582791034
128,ATC_Level_4_description*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_4_description,0.5854847963281699,0.23719935691974003,0.2828282828282829,0.9047619047619048,0.1686746987951807,0.03350785340314122
129,ATC_Level_5*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_5,0.5791738382099827,0.34707452046161724,0.17021276595744683,0.8571428571428571,0.0963855421686747,-0.02037735849056621
130,Associated_condition*KNeighborsClassifier,KNeighborsClassifier,Associated_condition,0.5886402753872633,0.2655742296918767,0.3137254901960785,0.8571428571428571,0.1927710843373494,0.023343171451569722
131,Carrier*KNeighborsClassifier,KNeighborsClassifier,Carrier,0.7478485370051635,0.4595543345543345,0.0,1.0,0.0,0.0
132,Category*KNeighborsClassifier,KNeighborsClassifier,Category,0.7461273666092944,0.41995791442599956,0.4821428571428571,0.9047619047619048,0.3253012048192771,0.11735440444834655
133,Enzyme*KNeighborsClassifier,KNeighborsClassifier,Enzyme,0.5786001147446931,0.23612416994769936,0.2828282828282829,0.9047619047619048,0.1686746987951807,0.03350785340314122
134,Group*KNeighborsClassifier,KNeighborsClassifier,Group,0.3711990820424555,0.1710613847531191,0.163265306122449,0.6666666666666666,0.0963855421686747,-0.10724487146195782
135,Target*KNeighborsClassifier,KNeighborsClassifier,Target,0.6477337923121055,0.26983109483109485,0.5737704918032787,0.8095238095238095,0.42168674698795183,0.12970711297071125
136,Taxonomy*KNeighborsClassifier,KNeighborsClassifier,Taxonomy,0.5450372920252439,0.24242743912869932,0.44827586206896547,0.6666666666666666,0.3132530120481928,-0.010628606134224006
137,Transporter*KNeighborsClassifier,KNeighborsClassifier,Transporter,0.5737234652897304,0.22733186185999255,0.7567567567567568,0.5714285714285714,0.6746987951807228,0.18644067796610164
138,Type*KNeighborsClassifier,KNeighborsClassifier,Type,0.49971313826735514,0.2018315018315018,0.0,1.0,0.0,0.0
139,ATC_Level_1_description*MultinomialNB,MultinomialNB,ATC_Level_1_description,0.6967871485943775,0.35601735384838123,0.640625,0.8095238095238095,0.4939759036144578,0.1811023622047243
140,ATC_Level_2_description*MultinomialNB,MultinomialNB,ATC_Level_2_description,0.7687894434882386,0.4531713867460713,0.7014925373134329,0.8095238095238095,0.5662650602409639,0.23948811700182804
141,ATC_Level_3_description*MultinomialNB,MultinomialNB,ATC_Level_3_description,0.7816982214572576,0.424753999908663,0.6870229007633587,0.8571428571428571,0.5421686746987951,0.24611032531824617
142,ATC_Level_4_description*MultinomialNB,MultinomialNB,ATC_Level_4_description,0.7432587492828456,0.454911009329381,0.578512396694215,0.8571428571428571,0.42168674698795183,0.14673398548438
143,ATC_Level_5*MultinomialNB,MultinomialNB,ATC_Level_5,0.6353987378083763,0.37896033200582935,0.15555555555555556,1.0,0.08433734939759036,0.03586240546474739
144,Associated_condition*MultinomialNB,MultinomialNB,Associated_condition,0.7360872059667241,0.3998612221337368,0.547008547008547,0.9047619047619048,0.3855421686746988,0.15511955855303494
145,Carrier*MultinomialNB,MultinomialNB,Carrier,0.6646586345381525,0.38980419553494144,0.0898876404494382,0.9047619047619048,0.04819277108433735,-0.019854721549636745
146,Category*MultinomialNB,MultinomialNB,Category,0.8060814687320711,0.49206790681781687,0.3689320388349514,0.9523809523809523,0.2289156626506024,0.0791521330829087
147,Enzyme*MultinomialNB,MultinomialNB,Enzyme,0.5791738382099828,0.2729910291086676,0.15555555555555556,1.0,0.08433734939759036,0.03586240546474739
148,Group*MultinomialNB,MultinomialNB,Group,0.3818129661503155,0.17360697692032057,0.0,1.0,0.0,0.0
149,Target*MultinomialNB,MultinomialNB,Target,0.7730923694779117,0.44959677189180614,0.6178861788617885,0.9047619047619048,0.4578313253012048,0.20546163849154753
150,Taxonomy*MultinomialNB,MultinomialNB,Taxonomy,0.7538726333907058,0.4483331125703768,0.6818181818181818,0.8095238095238095,0.5421686746987951,0.21916338934572743
151,Transporter*MultinomialNB,MultinomialNB,Transporter,0.5114744693057945,0.31696355444462077,0.1111111111111111,0.9047619047619048,0.060240963855421686,0.0053268765133173135
152,Type*MultinomialNB,MultinomialNB,Type,0.5002868617326448,0.202015577015577,0.09090909090909091,0.9523809523809523,0.04819277108433735,0.0002403268445085871
