,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
109,Transporter*RandomForestClassifier,RandomForestClassifier,Transporter,0.5522088353413654,0.2977729419448261,0.18749999999999997,0.8095238095238095,0.10843373493975904,-0.03654485049833878
110,Type*RandomForestClassifier,RandomForestClassifier,Type,0.5002868617326448,0.202015577015577,0.09090909090909091,0.9523809523809523,0.04819277108433735,0.0
111,ATC_Level_1_description*LogisticRegression,LogisticRegression,ATC_Level_1_description,0.6950659781985083,0.44619143177255793,0.6141732283464567,0.7619047619047619,0.46987951807228917,0.13685636856368566
112,ATC_Level_2_description*LogisticRegression,LogisticRegression,ATC_Level_2_description,0.7320711417096959,0.33358346992743737,0.7586206896551725,0.6666666666666666,0.6626506024096386,0.2709278350515464
113,ATC_Level_3_description*LogisticRegression,LogisticRegression,ATC_Level_3_description,0.7306368330464715,0.35219902044668583,0.7972972972972974,0.7142857142857143,0.7108433734939759,0.3220338983050848
114,ATC_Level_4_description*LogisticRegression,LogisticRegression,ATC_Level_4_description,0.699655765920826,0.38196047533735417,0.5128205128205128,0.8095238095238095,0.3614457831325301,0.09135499693439597
115,ATC_Level_5*LogisticRegression,LogisticRegression,ATC_Level_5,0.5567986230636832,0.3331301556649924,0.17204301075268819,0.9047619047619048,0.0963855421686747,-0.009832841691248762
116,Associated_condition*LogisticRegression,LogisticRegression,Associated_condition,0.7458405048766494,0.5112196776550147,0.608,0.8095238095238095,0.4578313253012048,0.14614121510673228
117,Carrier*LogisticRegression,LogisticRegression,Carrier,0.6600688468158347,0.3873836347725903,0.0898876404494382,0.9047619047619048,0.04819277108433735,-0.019854721549636745
118,Category*LogisticRegression,LogisticRegression,Category,0.8628800917957544,0.722330787362512,0.7887323943661971,0.8571428571428571,0.6746987951807228,0.3727382388419783
119,Enzyme*LogisticRegression,LogisticRegression,Enzyme,0.6107286288009179,0.3501887318482445,0.48695652173913045,0.8095238095238095,0.3373493975903614,0.07701564380264736
120,Group*LogisticRegression,LogisticRegression,Group,0.3399311531841652,0.16129908390419595,0.19801980198019803,0.6190476190476191,0.12048192771084337,-0.12080894092602446
121,Target*LogisticRegression,LogisticRegression,Target,0.7114170969592656,0.31287876726720854,0.6969696969696971,0.8571428571428571,0.5542168674698795,0.24611032531824617
122,Taxonomy*LogisticRegression,LogisticRegression,Taxonomy,0.7530120481927711,0.5047872376903635,0.6962962962962963,0.7619047619047619,0.5662650602409639,0.2292118582791034
123,Transporter*LogisticRegression,LogisticRegression,Transporter,0.544750430292599,0.3446329815421432,0.2549019607843137,0.7142857142857143,0.1566265060240964,-0.043019266297176006
124,Type*LogisticRegression,LogisticRegression,Type,0.5002868617326448,0.202015577015577,0.09090909090909091,0.9523809523809523,0.04819277108433735,0.0002403268445085871
125,ATC_Level_1_description*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_1_description,0.5722891566265059,0.23874062445491018,0.6141732283464567,0.7619047619047619,0.46987951807228917,0.13685636856368566
126,ATC_Level_2_description*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_2_description,0.6477337923121056,0.2882706614739694,0.609375,0.7142857142857143,0.46987951807228917,0.1098938719616569
127,ATC_Level_3_description*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_3_description,0.7096959265633964,0.3668962716358715,0.5833333333333334,0.9047619047619048,0.42168674698795183,0.17955190911959606
128,ATC_Level_4_description*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_4_description,0.5986804360298336,0.27249603545121753,0.2680412371134021,0.9523809523809523,0.1566265060240964,0.04894384337970126
129,ATC_Level_5*KNeighborsClassifier,KNeighborsClassifier,ATC_Level_5,0.5272518646012622,0.2730353838601261,0.1111111111111111,0.9047619047619048,0.060240963855421686,-0.014881678458160685
130,Associated_condition*KNeighborsClassifier,KNeighborsClassifier,Associated_condition,0.580608146873207,0.2423687423687424,0.33009708737864074,0.8571428571428571,0.20481927710843373,0.029220779220779036
131,Carrier*KNeighborsClassifier,KNeighborsClassifier,Carrier,0.7521514629948365,0.46833102172908,0.02380952380952381,1.0,0.012048192771084338,0.004900816802800523
132,Category*KNeighborsClassifier,KNeighborsClassifier,Category,0.7286288009179576,0.4116136488724317,0.4403669724770642,0.9047619047619048,0.2891566265060241,0.09629629629629632
133,Enzyme*KNeighborsClassifier,KNeighborsClassifier,Enzyme,0.5631095811818703,0.23481212998019718,0.3137254901960785,0.8571428571428571,0.1927710843373494,0.023343171451569722
134,Group*KNeighborsClassifier,KNeighborsClassifier,Group,0.5364314400458978,0.21195321421716012,0.046511627906976744,0.9523809523809523,0.024096385542168676,-0.009708737864077888
135,Target*KNeighborsClassifier,KNeighborsClassifier,Target,0.6477337923121055,0.26983109483109485,0.5737704918032787,0.8095238095238095,0.42168674698795183,0.12970711297071125
136,Taxonomy*KNeighborsClassifier,KNeighborsClassifier,Taxonomy,0.5275387263339071,0.2759949209037355,0.40707964601769914,0.6666666666666666,0.27710843373493976,-0.028942705256940426
137,Transporter*KNeighborsClassifier,KNeighborsClassifier,Transporter,0.6047045324153757,0.2630952380952381,0.7567567567567568,0.5714285714285714,0.6746987951807228,0.18644067796610164
138,Type*KNeighborsClassifier,KNeighborsClassifier,Type,0.49971313826735514,0.2018315018315018,0.0,1.0,0.0,0.0
